student_id,lms_logins_per_week,avg_assignment_delay_days,attendance_percentage,activity_diversity,night_activity_ratio,behavioural_drift_score,procrastination_index,silent_dropout_indicator,burnout_risk_score,burnout_risk_level
59,4,5.65,58,1,0.17,20.895,3.458,2,100.0,High
60,25,2.42,59,5,0.36,10.926000000000002,1.596,0,37.383,Medium
61,28,3.25,75,3,0.91,6.9750000000000005,2.314,0,49.7675,Medium
62,14,4.55,90,5,0.77,9.765,3.0380000000000003,0,65.64250000000001,High
63,18,0.34,84,1,0.56,8.502,0.428,1,27.811,Low
64,26,6.64,74,5,0.26,8.792,4.087999999999999,0,86.15599999999999,High
65,9,6.21,75,2,0.3,15.563,3.846,0,84.7015,High
66,26,1.83,60,4,0.73,10.249,1.39,0,32.924499999999995,Medium
67,21,0.11,87,3,0.85,6.433000000000001,0.406,0,11.336500000000001,Low
68,2,6.53,51,4,0.67,23.059000000000005,4.186,1,100.0,High
69,20,3.51,56,5,0.81,13.853000000000002,2.43,0,55.5265,Medium
70,28,3.78,67,3,0.77,8.734,2.576,0,55.887,Medium
71,15,4.79,76,5,0.15,12.237000000000002,2.934,0,64.7985,High
72,28,4.31,83,2,0.42,5.793,2.754,0,57.9765,Medium
73,7,6.61,76,1,0.15,16.383000000000003,4.026,2,100.0,High
74,12,6.61,66,3,0.24,16.183,4.062,0,89.3315,High
75,29,6.07,92,2,0.87,4.121,3.99,0,81.86050000000002,High
76,8,4.45,93,2,0.47,11.835000000000004,2.858,0,63.07750000000001,High
77,15,5.61,73,3,0.54,13.283,3.5820000000000003,0,78.2815,High
78,3,4.74,74,5,0.18,17.422,2.916,1,82.031,High
79,14,4.01,56,2,0.31,16.703,2.53,0,58.951499999999996,Medium
80,17,0.9,55,4,0.23,14.57,0.632,0,19.925,Low
81,4,5.68,73,2,0.21,17.804000000000002,3.492,1,93.742,High
82,18,5.74,82,5,0.64,10.122,3.7,0,79.061,High
83,8,4.38,98,5,0.26,10.514,2.732,0,59.897,Medium
84,4,5.74,78,4,0.63,16.622,3.696,1,97.231,High
85,2,4.56,92,2,0.06,14.468000000000002,2.76,1,77.434,High
86,6,1.45,71,5,0.14,15.835000000000004,0.926,1,41.4375,Medium
87,22,1.92,75,3,0.27,8.975999999999999,1.26,0,29.688,Low
88,10,1.5,77,1,0.6,13.45,1.14,1,44.525,Medium
89,4,2.64,99,1,0.68,11.792,1.856,2,73.016,High
90,22,0.27,70,1,0.44,9.681,0.338,1,26.6005,Low
91,29,4.33,98,2,0.45,2.399,2.778,0,56.7595,Medium
92,18,2.36,56,4,0.72,14.408,1.704,0,41.284,Medium
93,26,4.59,66,5,0.02,9.777,2.762,0,60.1285,High
94,12,2.7,69,3,0.34,14.41,1.7560000000000002,0,42.325,Medium
95,2,4.77,90,3,0.82,14.831,3.1899999999999995,1,86.21549999999999,High
96,10,2.38,98,2,0.6,9.414,1.668,0,38.067,Medium
97,4,1.82,69,1,0.34,17.546,1.2280000000000002,2,63.333,High
98,14,3.47,71,2,0.91,13.541000000000002,2.446,0,55.6905,Medium
99,16,4.85,77,4,0.77,11.755,3.218,0,70.2375,High
100,15,2.44,89,4,0.26,9.032,1.568,0,35.876,Medium
101,8,6.56,98,5,0.65,11.168,4.196,0,89.50399999999999,High
102,14,0.27,56,5,0.6,15.281000000000002,0.402,0,15.680500000000002,Low
103,23,2.93,50,4,0.4,13.779,1.918,0,45.2495,Medium
104,28,6.77,81,4,0.37,6.731,4.209999999999999,0,87.56549999999999,High
105,25,3.84,62,4,0.34,10.852,2.44,0,54.226,Medium
106,8,2.96,79,2,0.62,14.188000000000002,2.024,0,47.574000000000005,Medium
107,21,3.98,72,4,0.44,10.494000000000002,2.564,0,56.527,Medium
108,16,4.03,68,3,0.83,13.409,2.75,0,61.7045,High
109,13,5.12,81,1,0.67,12.536,3.34,1,88.068,High
110,18,0.89,79,4,0.07,9.367,0.562,0,15.923500000000002,Low
111,15,1.75,78,1,0.64,11.325,1.306,1,46.7825,Medium
112,21,4.06,98,2,0.27,5.518,2.544,0,53.639,Medium
113,24,6.07,94,1,0.59,5.821000000000001,3.878,1,95.4705,High
114,26,3.93,78,2,0.68,7.479,2.63,0,56.339499999999994,Medium
115,25,1.67,79,3,0.23,6.901000000000001,1.094,0,25.330500000000004,Low
116,28,4.76,65,2,0.46,9.528,3.04,0,65.564,High
117,28,5.18,89,2,0.19,4.854,3.184,0,66.10700000000001,High
118,28,1.67,68,5,0.05,7.701,1.022,0,24.2905,Low
119,13,2.64,67,4,0.38,14.292,1.7360000000000002,0,41.86600000000001,Medium
120,9,3.74,50,4,0.36,19.622,2.3880000000000003,0,57.571000000000005,Medium
121,29,3.48,63,3,1.0,9.044,2.488,0,54.282,Medium
122,15,2.73,96,3,0.45,7.819,1.818,0,40.2695,Medium
123,13,2.08,99,4,0.33,7.724,1.38,0,31.461999999999996,Medium
124,1,0.7,51,5,0.58,21.610000000000003,0.6519999999999999,1,38.845,Medium
125,25,0.37,77,4,0.09,6.811,0.258,0,8.5655,Low
126,7,6.71,98,5,0.96,11.613,4.41,1,100.0,High
127,9,5.93,99,3,0.63,10.579,3.81,0,81.4895,High
128,24,2.48,79,1,0.75,7.744000000000001,1.788,1,54.632,Medium
129,1,6.7,87,3,0.17,16.41,4.087999999999999,1,100.0,High
130,12,4.74,53,3,0.41,18.222,3.008,0,69.271,High
131,8,3.38,50,2,0.42,20.114,2.196,0,53.977000000000004,Medium
132,24,3.45,57,2,0.82,12.335,2.398,0,54.1275,Medium
133,11,0.58,78,2,0.0,12.474000000000002,0.348,0,13.197,Low
134,19,0.64,88,2,0.3,7.292000000000001,0.504,0,13.726,Low
135,17,4.22,52,5,0.98,16.066000000000003,2.9239999999999995,0,66.51299999999999,High
136,8,3.88,81,4,0.47,13.864,2.516,0,57.252,Medium
137,3,1.49,59,1,0.38,19.847,1.046,2,60.843500000000006,High
138,3,6.62,59,3,0.12,21.186000000000003,4.02,1,100.0,High
139,1,5.47,68,5,0.97,19.641,3.67,1,98.2205,High
140,27,0.79,95,1,0.02,2.837,0.482,1,26.058500000000002,Low
141,5,6.52,83,5,0.74,15.356,4.207999999999999,1,100.0,High
142,10,6.82,82,5,0.77,13.646,4.4,0,94.82300000000001,High
143,7,6.97,72,3,0.24,17.091,4.278,1,100.0,High
144,26,0.39,77,4,0.67,6.417,0.502,0,13.2485,Low
145,9,5.16,81,2,0.09,14.048000000000002,3.132,0,69.664,High
146,28,3.82,99,4,0.26,2.246,2.396,0,49.043,Medium
147,7,4.94,56,3,0.79,19.682,3.28,1,90.44099999999999,High
148,9,6.78,78,3,0.86,15.034,4.412,0,95.75699999999999,High
149,8,4.82,57,3,0.61,19.046,3.136,0,72.243,High
150,12,5.86,50,1,0.51,19.358,3.72,1,99.07900000000001,High
151,2,6.07,52,4,0.16,22.721000000000004,3.706,1,100.0,High
152,1,5.87,73,4,0.06,18.861000000000004,3.546,1,95.35050000000001,High
153,16,2.98,72,5,0.12,12.094,1.836,0,42.766999999999996,Medium
154,23,1.56,57,5,0.23,11.868,1.028,0,26.494000000000003,Low
155,23,2.78,96,5,0.34,4.434,1.804,0,38.297,Medium
156,24,6.24,86,3,0.38,7.272000000000001,3.896,0,81.556,High
157,5,1.03,52,4,0.35,20.009,0.758,1,40.164500000000004,Medium
158,3,3.59,82,3,0.24,15.677,2.25,1,67.8385,High
159,12,1.63,77,1,0.51,12.689000000000002,1.182,1,44.9845,Medium
160,8,4.07,96,5,0.83,10.821000000000002,2.774,0,60.8905,High
161,22,6.04,57,3,0.28,13.812,3.736,0,81.626,High
162,27,6.16,83,3,0.94,6.648000000000001,4.072,0,84.764,High
163,3,1.66,84,1,0.87,14.898,1.344,2,64.32900000000001,High
164,1,6.35,81,2,0.16,17.605,3.874,1,100.0,High
165,3,4.14,73,4,0.79,17.542,2.8,1,79.771,High
166,5,2.45,63,2,0.57,18.435,1.698,1,58.1775,Medium
167,15,4.96,81,5,0.57,11.288,3.204,0,69.724,High
168,14,3.37,95,3,0.39,8.611,2.178,0,47.865500000000004,Medium
169,3,2.65,92,1,0.5,13.595,1.7899999999999998,2,72.5975,High
170,1,4.94,65,1,0.4,20.482,3.124,2,100.0,High
171,5,1.74,53,4,0.54,20.022,1.26,1,50.211,Medium
172,26,2.31,86,2,0.63,5.393,1.638,0,35.4565,Medium
173,23,3.04,70,4,0.67,9.812,2.092,0,46.746,Medium
174,14,1.78,63,3,0.53,14.534,1.28,0,32.867000000000004,Medium
175,7,2.84,80,4,0.72,14.152,1.992,1,61.916000000000004,High
176,27,4.0,97,1,0.14,3.4000000000000004,2.456,1,65.82,High
177,9,5.19,67,1,0.21,16.957,3.1980000000000004,1,87.4385,High
178,15,5.37,56,5,0.82,16.411,3.55,0,79.2055,High
179,15,5.76,59,5,0.32,15.928,3.584,0,79.644,High
180,26,5.21,56,3,0.02,12.163,3.134,0,68.7615,High
181,10,4.77,82,2,0.15,13.331,2.922,0,65.1055,High
182,28,1.66,72,4,0.22,6.998,1.084,0,25.179,Low
183,13,2.8,70,3,0.96,13.84,2.064,0,48.2,Medium
184,19,3.34,68,5,0.57,11.802,2.232,0,50.541,Medium
185,7,0.58,97,4,0.93,10.074,0.72,1,34.437,Medium
186,17,3.7,68,5,0.58,12.71,2.452,0,55.394999999999996,Medium
187,20,3.05,85,4,0.48,8.015,2.022,0,44.4475,Medium
188,29,5.61,78,2,0.31,6.783,3.49,0,73.1915,High
189,4,6.85,67,3,0.61,19.255,4.353999999999999,1,100.0,High
190,5,3.89,51,4,0.14,21.067,2.39,1,73.3335,High
191,23,2.26,50,1,0.9,13.878,1.716,1,56.259,Medium
192,7,0.3,96,1,0.83,10.490000000000002,0.512,2,45.485,Medium
193,13,6.47,54,4,0.32,18.041000000000004,4.01,0,89.22049999999999,High
194,15,6.43,69,4,0.95,14.229,4.238,0,91.87450000000001,High
195,11,1.77,60,4,0.83,16.231,1.394,0,35.9955,Medium
196,29,4.87,91,1,0.67,4.061000000000001,3.1900000000000004,1,80.83050000000001,High
197,4,0.53,51,1,0.12,20.759,0.366,2,47.6995,Medium
198,13,1.16,52,4,0.48,16.848000000000003,0.8879999999999999,0,26.183999999999997,Low
199,7,1.52,72,5,0.51,15.256,1.116,1,44.948,Medium
200,27,2.06,61,5,0.23,9.618,1.328,0,31.369000000000003,Medium
201,19,6.97,69,2,0.08,12.991,4.214,0,90.7755,High
202,22,4.88,54,3,0.78,14.064,3.24,0,71.83200000000001,High
203,28,2.69,86,5,0.12,4.407,1.662,0,35.44349999999999,Medium
204,2,5.16,87,1,0.59,15.748,3.332,2,100.0,High
205,10,6.41,79,5,0.94,14.123,4.222,0,91.50150000000001,High
206,13,6.71,58,2,0.88,17.513,4.378,0,96.3165,High
207,25,0.41,83,2,0.28,5.823,0.358,0,10.0715,Low
208,21,2.76,93,3,0.85,6.0280000000000005,1.996,0,42.934000000000005,Medium
209,6,0.75,84,5,0.0,13.025000000000002,0.4499999999999999,1,30.5125,Medium
210,28,2.35,71,1,0.02,7.705000000000001,1.418,1,47.2125,Medium
211,28,1.19,93,1,0.6,2.9570000000000003,0.954,1,35.558499999999995,Medium
212,12,4.53,73,4,0.36,14.059,2.862,0,64.26950000000001,High
213,12,2.72,66,1,0.39,15.216,1.7880000000000005,1,58.36800000000001,Medium
214,20,1.61,59,3,0.56,12.883,1.19,0,30.241499999999995,Medium
215,11,1.86,79,3,0.19,12.558,1.1920000000000002,0,30.119000000000003,Medium
216,26,2.52,95,1,0.21,3.756,1.596,1,48.798,Medium
217,23,1.82,72,1,0.48,9.346000000000002,1.284,1,45.353,Medium
218,28,3.17,81,4,0.75,5.651,2.202,0,46.8655,Medium
219,25,0.23,66,1,0.62,9.269,0.386,1,27.3545,Low
220,7,1.96,99,4,0.3,10.088,1.2959999999999998,1,45.964,Medium
221,1,2.88,66,4,0.43,19.364000000000004,1.9,1,62.682,High
222,1,4.22,63,1,0.17,20.666,2.6,2,92.333,High
223,25,1.9,58,2,0.07,11.27,1.168,0,28.994999999999997,Low
224,27,0.93,89,2,0.78,3.979,0.8700000000000001,0,19.3895,Low
225,25,0.53,51,4,0.27,12.059,0.426,0,14.549499999999998,Low
226,20,6.58,94,1,0.18,7.574000000000001,4.02,1,99.187,High
227,13,2.92,74,2,0.69,13.176000000000002,2.028,0,47.148,Medium
228,9,4.07,88,1,0.62,12.421,2.6900000000000004,1,75.01050000000001,High
229,3,6.43,58,1,0.63,21.529,4.109999999999999,2,100.0,High
230,7,0.58,71,1,0.23,15.574000000000002,0.44,2,46.587,Medium
231,6,6.14,92,5,0.23,13.042000000000002,3.776,1,97.041,High
232,8,3.86,95,1,0.22,11.358,2.404,1,68.759,High
233,27,1.15,53,5,0.17,10.945,0.758,0,20.6325,Low
234,9,2.88,75,4,0.66,14.364,1.992,0,47.022000000000006,Medium
235,5,5.44,78,2,0.85,16.332,3.604,1,95.246,High
236,1,3.36,94,2,0.72,14.108,2.304,1,68.134,High
237,19,6.9,83,2,0.79,10.170000000000002,4.456,0,94.20500000000001,High
238,10,2.64,72,2,0.4,14.692,1.7440000000000002,0,42.226,Medium
239,12,5.25,86,2,0.65,11.875000000000002,3.41,0,74.1375,High
240,24,2.75,60,2,0.35,11.525000000000002,1.7899999999999998,0,41.5625,Medium
241,15,5.8,55,2,0.53,17.040000000000003,3.692,0,82.36,High
242,27,3.98,67,4,0.48,9.094,2.58,0,56.147,Medium
243,22,0.44,70,1,0.18,9.732,0.336,1,26.586,Low
244,24,0.26,91,3,0.39,4.478000000000001,0.312,0,8.479000000000001,Low
245,9,0.94,85,5,0.96,11.682,0.948,0,24.801000000000002,Low
246,20,0.1,90,3,0.25,6.23,0.16,0,6.315,Low
247,17,0.53,87,3,0.13,8.158999999999999,0.37,0,11.4795,Low
248,17,4.84,83,1,0.42,10.452,3.072,1,81.666,High
249,26,3.74,66,1,0.79,9.922000000000002,2.5600000000000005,1,71.161,High
250,20,5.25,86,1,0.58,8.775,3.382,1,87.0275,High
251,12,6.39,74,2,0.68,14.617,4.106,0,89.4285,High
252,7,4.1,87,4,0.19,13.13,2.536,1,72.285,High
253,2,5.08,61,2,0.62,20.824,3.2960000000000003,1,91.33200000000001,High
254,3,5.3,72,4,0.32,18.090000000000003,3.308,1,90.205,High
255,17,2.64,91,4,0.83,7.891999999999999,1.916,0,42.266,Medium
256,5,1.69,71,3,0.63,16.507,1.266,1,48.5735,Medium
257,17,1.44,70,3,0.2,11.832,0.944,0,24.796,Low
258,24,1.76,76,4,0.06,7.828000000000001,1.08,0,25.514000000000003,Low
259,17,1.92,80,4,0.04,9.876,1.168,0,28.298,Low
260,27,1.45,55,2,0.37,10.935,1.018,0,25.8275,Low
261,17,6.15,76,2,0.27,12.145,3.798,0,82.03250000000001,High
262,2,5.3,89,3,0.65,15.19,3.4399999999999995,1,91.39499999999998,High
263,2,0.33,83,1,0.5,15.099000000000002,0.398,2,45.5095,Medium
264,28,1.88,61,4,0.27,9.264,1.236,0,29.351999999999997,Low
265,22,0.16,94,2,0.15,4.748,0.156,0,5.494,Low
266,23,3.49,56,3,0.13,12.847,2.146,0,49.3435,Medium
267,5,3.33,59,2,0.86,19.499,2.342,1,71.5895,High
268,1,5.82,94,4,0.24,14.646000000000004,3.588,1,94.08300000000001,High
269,1,2.15,66,4,0.65,19.145000000000003,1.5499999999999998,1,55.5725,Medium
270,19,5.71,75,5,0.81,11.113,3.75,0,80.5565,High
271,2,6.78,70,1,0.61,19.634,4.311999999999999,2,100.0,High
272,21,0.62,77,5,0.86,8.386000000000001,0.716,0,18.513,Low
273,12,5.54,95,3,0.39,10.062,3.48,0,74.631,High
274,26,4.13,51,2,0.96,12.939000000000002,2.862,0,63.709500000000006,High
275,6,3.36,92,3,0.13,12.408,2.068,1,62.564,High
276,23,2.94,50,4,0.1,13.782,1.804,0,42.971,Medium
277,4,5.49,85,5,0.66,15.047,3.558,1,93.6835,High
278,23,4.48,75,5,0.94,9.144,3.064,0,65.852,High
279,11,5.64,78,5,0.81,13.692,3.708,0,81.006,High
280,24,6.32,70,3,0.08,10.496,3.824,0,81.728,High
281,27,4.32,60,4,0.28,10.596,2.704,0,59.37800000000001,Medium
282,17,6.86,89,2,0.93,9.758,4.488,0,94.63900000000001,High
283,6,4.26,60,2,0.25,19.178,2.656,1,77.709,High
284,24,4.46,85,3,0.78,6.938000000000001,2.9879999999999995,0,63.22899999999999,High
285,5,3.88,98,5,0.83,11.564,2.66,1,73.982,High
286,20,0.64,88,1,0.5,6.992000000000001,0.5840000000000001,1,30.176000000000002,Medium
287,2,5.08,89,3,0.39,15.124,3.204,1,86.642,High
288,6,3.83,84,3,0.45,14.149,2.478,1,71.6345,High
289,22,3.16,83,4,0.23,7.648,1.988,0,43.583999999999996,Medium
290,11,6.37,96,2,0.89,10.611000000000002,4.178,0,88.8655,High
291,16,2.09,73,3,0.45,11.827,1.4339999999999995,0,34.59349999999999,Medium
292,16,3.67,71,3,0.88,12.701,2.554,0,57.430499999999995,Medium
293,1,4.88,54,5,0.11,22.264000000000003,2.972,1,85.572,High
294,9,5.58,82,5,0.99,13.674,3.744,0,81.71700000000001,High
295,28,3.22,85,1,0.44,5.166,2.108,1,59.743,Medium
296,27,5.89,96,4,0.05,3.867,3.554,0,73.0135,High
297,6,5.38,69,1,0.04,17.814,3.244,2,100.0,High
298,16,0.46,68,5,0.75,12.138000000000002,0.5760000000000001,0,17.589000000000002,Low
299,29,0.32,84,2,0.66,3.996,0.456,0,11.118,Low
300,3,4.35,92,5,0.8,13.705,2.93,1,80.4525,High
301,20,2.43,66,4,0.11,11.629,1.502,0,35.8545,Medium
302,28,1.46,94,5,0.04,2.438,0.892,0,19.059,Low
303,27,4.06,92,4,0.51,4.118,2.64,0,54.859,Medium
304,4,2.39,83,4,0.39,14.617,1.59,1,54.1085,Medium
305,19,3.76,58,4,0.46,14.028,2.44,0,55.814,Medium
306,26,3.22,75,4,0.99,7.665999999999999,2.328,0,50.392999999999994,Medium
307,3,4.09,51,4,0.97,21.927000000000003,2.842,1,82.8035,High
308,19,2.8,58,2,0.94,13.94,2.056,0,48.09,Medium
309,20,4.88,58,1,0.78,14.264,3.24,1,86.93200000000002,High
310,7,1.26,89,3,0.35,11.978000000000002,0.896,1,38.909000000000006,Medium
311,20,4.88,66,1,0.41,12.664,3.092,1,83.172,High
312,9,2.88,50,4,0.55,19.364000000000004,1.948,0,48.642,Medium
313,1,6.12,74,2,0.83,18.936000000000003,4.004,1,100.0,High
314,8,3.61,92,5,0.07,11.483,2.194,0,49.6215,Medium
315,7,6.81,89,2,0.42,13.743000000000002,4.254,1,100.0,High
316,18,4.21,91,4,0.08,7.963,2.558,0,55.14149999999999,Medium
317,8,1.57,74,2,0.51,14.771,1.146,0,30.3055,Medium
318,1,5.75,88,2,0.9,16.025000000000002,3.81,1,99.2125,High
319,11,2.42,84,4,0.78,11.626,1.764,0,41.093,Medium
320,28,2.43,52,2,0.23,11.429000000000002,1.55,0,36.7145,Medium
321,25,0.22,99,3,0.98,2.466,0.524,0,11.713000000000001,Low
322,25,3.84,86,3,0.67,6.152,2.572,0,54.516,Medium
323,18,3.74,93,2,0.01,7.622000000000001,2.248,0,48.77100000000001,Medium
324,23,2.49,93,5,0.26,4.947,1.598,0,34.4335,Medium
325,10,6.26,79,4,0.26,14.178,3.86,0,84.289,High
326,3,0.9,87,3,0.07,13.87,0.5680000000000001,1,33.295,Medium
327,7,2.31,83,5,0.96,13.293,1.77,1,57.046499999999995,Medium
328,28,2.25,61,2,0.48,9.575,1.5419999999999998,0,35.6275,Medium
329,16,0.65,68,5,0.9,12.195,0.75,0,21.0975,Low
330,26,3.37,86,1,0.32,5.811,2.15,1,60.9055,High
331,16,4.81,93,3,0.13,8.642999999999999,2.938,0,63.081500000000005,High
332,25,3.58,98,2,0.47,3.774,2.3360000000000003,0,48.607000000000006,Medium
333,20,1.1,66,4,0.11,11.23,0.7040000000000001,0,19.695,Low
334,28,2.64,59,2,0.49,10.092000000000002,1.78,0,40.646,Medium
335,17,0.02,98,4,0.92,5.706,0.38,0,10.453,Low
336,2,6.08,96,2,0.52,14.124000000000002,3.856,1,99.182,High
337,1,0.59,61,5,0.62,19.577,0.602,1,36.8285,Medium
338,16,4.18,65,5,0.16,13.854,2.572,0,58.367,Medium
339,12,6.9,73,5,0.04,14.67,4.156,0,90.45499999999998,High
340,5,3.76,68,1,0.11,17.927999999999997,2.3,2,84.964,High
341,5,6.47,57,4,0.6,20.641,4.122,1,100.0,High
342,27,1.65,80,5,0.1,5.695,1.0299999999999998,0,23.447499999999994,Low
343,23,5.32,70,1,0.38,10.796,3.3440000000000003,1,87.278,High
344,9,3.72,66,4,0.55,16.416000000000004,2.4520000000000004,0,57.248000000000005,Medium
345,9,5.04,72,2,0.39,15.812,3.18,0,71.506,High
346,3,0.44,86,1,0.16,14.132,0.328,2,43.626000000000005,Medium
347,19,1.03,65,3,0.27,11.909,0.726,0,20.4745,Low
348,16,0.93,55,1,0.93,15.279000000000002,0.9300000000000002,1,41.23950000000001,Medium
349,16,4.81,57,1,0.68,16.043,3.1579999999999995,1,86.18149999999999,High
350,3,5.91,74,4,0.5,17.873,3.746,1,98.8565,High
351,20,5.25,67,2,0.01,12.475,3.154,0,69.3175,High
352,24,0.21,74,3,0.99,7.863,0.522,0,14.371500000000001,Low
353,22,6.07,61,5,0.67,12.821000000000002,3.91,0,84.6105,High
354,24,2.48,64,5,0.32,10.344,1.616,0,37.492,Medium
355,1,2.78,75,1,0.88,17.834,2.02,2,79.31700000000001,High
356,24,0.73,90,4,0.26,4.718999999999999,0.542,0,13.1995,Low
357,20,5.16,94,4,0.54,6.848,3.3120000000000003,0,69.66400000000002,High
358,11,1.28,75,5,0.64,12.984000000000002,1.024,0,26.972,Low
359,17,3.95,96,3,0.22,7.385,2.458,0,52.852500000000006,Medium
360,8,5.88,81,2,0.98,14.664,3.92,0,85.732,High
361,4,0.62,59,3,0.75,18.986,0.672,1,37.933,Medium
362,6,3.75,65,2,0.56,18.025,2.474,1,73.4925,High
363,8,1.63,56,5,0.18,18.089,1.0499999999999998,0,30.044499999999996,Medium
364,20,2.4,66,2,0.05,11.82,1.46,0,35.11,Medium
365,3,3.32,72,4,0.32,17.496000000000002,2.12,1,66.14800000000001,High
366,16,2.49,75,1,0.75,11.747000000000002,1.794,1,56.7535,Medium
367,25,4.54,70,1,0.27,9.762,2.832,1,76.521,High
368,3,3.36,71,5,0.54,17.608,2.232,1,68.444,High
369,25,4.09,56,4,0.73,12.127,2.746,0,60.9835,High
370,29,5.16,63,3,0.11,9.548,3.14,0,67.574,High
371,18,3.9,64,4,0.69,13.27,2.616,0,58.955,Medium
372,14,4.11,56,1,0.09,16.833,2.502,1,73.45649999999999,High
373,18,3.95,58,1,0.97,14.785000000000002,2.758,1,77.5525,High
374,2,2.65,97,4,0.49,12.695,1.7859999999999998,1,57.067499999999995,Medium
375,22,2.36,57,4,0.15,12.608,1.476,0,35.824,Medium
376,3,6.3,99,1,0.34,13.29,3.916,2,100.0,High
377,16,4.25,72,3,0.41,12.675,2.714,0,60.6175,High
378,29,1.71,78,5,0.76,5.313000000000001,1.33,0,29.256500000000003,Low
379,9,3.49,67,5,0.74,16.047,2.39,0,55.8235,Medium
380,4,2.31,80,4,0.61,15.193,1.63,1,55.19649999999999,Medium
381,1,6.54,79,5,0.11,17.762,3.968,1,100.0,High
